name,kind,loc,place,used,copies,tags,modified,size_kb,path
4 Launching earlier,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,52,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/4 Launching earlier.amxd
4 Polyphony pt2,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,33,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/4 Polyphony pt2.amxd
4Xfade,MIDI Effect,Pack,Lost and Found,1,1,,2025-05-25,343,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Lost and Found/Utility/4Xfade.amxd
5,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,27,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/5.amxd
5 Adding feedback,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,64,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/5 Adding feedback.amxd
5 Adding progress,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,72,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/5 Adding progress.amxd
5 Bonus - Push,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,35,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/5 Bonus - Push.amxd
5 Next,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,51,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/5 Next.amxd
5 Polishing,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,247,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/5 Polishing.amxd
6 Adding pitch,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,95,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/6 Adding pitch.amxd
6 Bonus - Doubling,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,245,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/6 Bonus - Doubling.amxd
6 Pitch LFO,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,58,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/6 Pitch LFO.amxd
6 Stay in blocks,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,97,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/6 Stay in blocks.amxd
7 Cleaning up,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,52,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/7 Cleaning up.amxd
7 Going Stereo,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,109,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/7 Going Stereo.amxd
7 Spread,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,89,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/7 Spread.amxd
8 Bonus - UI,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,50,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/8 Bonus - UI.amxd
8 Multichannel,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,100,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/8 Multichannel.amxd
Aamonoise,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,80,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Aamonoise.amxd
Ableton Youtube Player V1 AbletonDrummer,Audio Effect,User Library,User Library,2,1,,2025-04-26,157,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Ableton Youtube Player V1 AbletonDrummer.amxd
After Effects Export,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,23,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Visuals/After Effects Export/Devices/After Effects Export.amxd
Align Delay,Audio Effect,Live factory,Built-in,2,1,Devices|Utility,2026-03-06,72,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Audio Effects/Align Delay/Ableton Folder Info/Align Delay.amxd
Antialiased,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,8,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Instruments/Aliasing/Devices/Antialiased.amxd
API Browser,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,191,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Controlling Live/API Browser/Devices/API Browser.amxd
Arduino,Audio Effect,Pack,Connection Kit,1,1,,2025-05-25,1817,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Connection Kit/Devices/Arduino.amxd
Arp,MIDI Effect,Pack,Max for Live Essentials,7,1,,2025-10-22,10092,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Midi Effect/Arp.amxd
Arpeggiator,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,36,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/MIDI effects/Arpeggiator/Devices/Arpeggiator.amxd
Arrangement Clips,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,104,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Controlling Live/Arrangement Clips/Devices/Arrangement Clips.amxd
Arrangement Looper,Audio Effect,Pack,Performance Pack by Iftah,2,1,Devices|Performance & DJ,2025-11-20,240,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Performance Pack by Iftah/Arrangement Looper/Ableton Folder Info/Arrangement Looper.amxd
Automate Rack Macro Variations V1 AbletonDrummer,Audio Effect,User Library,User Library,3,2,,2025-02-16,88,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Automate Rack Macro Variations V1 AbletonDrummer.amxd
AZ-LABS_Pad Slicing Mode 1.1.0,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2016-08-17,286,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/3rd Party/AZ-LABS_Pad Slicing Mode 1.1.0.amxd
Backspin v1.0.1,Audio Effect,User Library,User Library,2,1,,2025-12-28,1798,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Backspin v1.0.1.amxd
Backspin v1.0.2,Audio Effect,User Library,User Library,2,1,,2026-01-23,2010,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Backspin v1.0.2.amxd
Basic Saw,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,21,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 2 - Introduction/Devices/Basic Saw.amxd
Bass,Instrument,Pack,Creative Extensions,129,2,Devices|Synthesizer|Virtual Analog,2025-05-25,1803,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Creative Extensions/Instruments/Bass/Ableton Folder Info/Bass.amxd
BEAST Repeat,Audio Effect,User Library,User Library,2,1,,2026-07-24,1059,//Volumes/Crucial X9/Remote Music/Ableton/User Library/BEAST Repeat.amxd
Bell Tower,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,57,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/Bell Tower.amxd
Bobop,MIDI Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,112,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Bobop.amxd
Boss DD-3 Digital Delay,Audio Effect,User Library,User Library,3,2,,2025-04-11,42,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Boss DD-3 Digital Delay.amxd
Boss DS-1 Distortion v1.1,Audio Effect,User Library,User Library,3,2,,2025-04-11,123,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Boss DS-1 Distortion v1.1.amxd
Boss GE-7 Equalizer,Audio Effect,User Library,User Library,3,2,,2025-04-11,47,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Boss GE-7 Equalizer.amxd
Boss NS-2 Noise Suppressor,Audio Effect,User Library,User Library,3,2,,2025-04-11,36,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Boss NS-2 Noise Suppressor.amxd
Boss TR-2 Tremolo,Audio Effect,User Library,User Library,3,2,,2025-04-11,29,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Boss TR-2 Tremolo.amxd
Bouncy Notes,MIDI Effect,Pack,Inspired by Nature by Dillon Bastan,34,1,Devices|Generative,2025-05-25,883,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/MIDI Effects/Bouncy Notes/Ableton Folder Info/Bouncy Notes.amxd
BROKEN SPHERE,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,445,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/BROKEN SPHERE.amxd
Buffer Shuffler 2.0,Audio Effect,Pack,Max for Live Essentials,8,2,,2025-10-22,1847,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Audio Effect/Buffer Shuffler/Buffer Shuffler 2.0.amxd
bve.glitchlooper,Audio Effect,User Library,User Library,2,1,,2026-01-16,54,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/bve.glitchlooper.amxd
Camera,MIDI Effect,Pack,Connection Kit,1,1,,2025-05-25,340,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Connection Kit/Devices/Camera.amxd
Cascade,Audio Effect,User Library,User Library,2,1,,2026-08-01,108,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Cascade.amxd
cb_rainer 1.6,Instrument,User Library,User Library,3,2,,2026-04-28,641,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/cb_rainer 1.6.amxd
Cellular Degradation,Instrument,Elsewhere on disk,Remote Music,3,3,,2024-08-15,434,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Cellular Degradation.amxd
Cellular Degradation-1,Instrument,Elsewhere on disk,Remote Music,1,1,,2024-09-14,434,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Cellular Degradation-1.amxd
Channel EQ,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,83,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Audio effects/ChannelEQ/Devices/Channel EQ.amxd
ChannelStrip,Audio Effect,User Library,User Library,3,2,,2024-08-09,1252,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/ChannelStrip.amxd
ChannelStrip-1,Audio Effect,User Library,User Library,1,1,,2024-09-02,1252,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/ChannelStrip-1.amxd
Chorb,MIDI Effect,User Library,User Library,2,1,,2026-06-03,165,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/MIDI Effects/Max MIDI Effect/Imported/Chorb.amxd
Chord Generator,MIDI Effect,User Library,User Library,1,1,,2025-12-23,84,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/MIDI Effects/Chord Generator.amxd
Chorus,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,39,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Audio effects/Chorus/Devices/Chorus.amxd
Colette Synth,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,4006,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Colette Synth.amxd
Color,Audio Effect,Pack,Stray Cats Collection by Max for Cats,20,1,,2025-05-25,13179,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Stray Cats Collection by Max for Cats/Audio Effects/Color.amxd
Color Limiter,Audio Effect,Pack,Creative Extensions,16,2,Devices|Dynamics,2025-05-25,225,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Creative Extensions/Audio Effects/Color Limiter/Ableton Folder Info/Color Limiter.amxd
Colour,Audio Effect,User Library,User Library,2,1,,2024-08-15,47,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Colour.amxd
ConChord,MIDI Effect,Pack,Stray Cats Collection by Max for Cats,17,1,,2025-05-25,2399,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Stray Cats Collection by Max for Cats/MIDI Effects/ConChord.amxd
Concrete Sequencer,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,44,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Concrete Sequencer.amxd
Contemporary texture,Audio Effect,User Library,User Library,4,3,,2025-02-06,65,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Contemporary texture.amxd
Convolution Reverb,Audio Effect,Pack,Convolution Reverb,822,3,Devices|Reverb,2025-05-25,3730,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Convolution Reverb/Convolution Reverb/Ableton Folder Info/Convolution Reverb.amxd
Convolution Reverb Pro,Audio Effect,Pack,Convolution Reverb,60,5,Devices|Reverb,2025-05-25,5795,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Convolution Reverb/Convolution Reverb Pro/Ableton Folder Info/Convolution Reverb Pro.amxd
Copy Machine,Instrument,User Library,User Library,3,2,,2025-02-16,298,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/Copy Machine.amxd
Copy Machine 1.2 ,Instrument,Project copy,Remote Music,1,1,,2025-02-14,310,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/3rd Party/ADM 100 Year Old Piano Project/Copy Machine 1.2 .amxd
Coral,MIDI Effect,User Library,User Library,1,1,,2025-12-23,52,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/MIDI Effects/Max MIDI Effect/Imported/Coral.amxd
Crap Cassette v1.0,Audio Effect,User Library,User Library,2,1,,2026-04-01,266,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Crap Cassette v1.0.amxd
Crazy Tempo,MIDI Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,23,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Crazy Tempo.amxd
Crush,Instrument,Elsewhere on disk,Remote Music,2,2,,2024-03-21,476,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Crush.amxd
Custom Note Off,MIDI Effect,Pack,Upright Piano by Spitfire Audio,1,1,,2025-05-25,87,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Upright Piano by Spitfire Audio/Utility/Custom Note Off.amxd
CV Clock In,Audio Effect,Pack,CV Tools,2,1,Devices|Utility,2025-11-20,321,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Utilities/CV Clock In/Ableton Folder Info/CV Clock In.amxd
CV Clock Out,Audio Effect,Pack,CV Tools,4,1,Devices|Utility,2025-11-20,226,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Utilities/CV Clock Out/Ableton Folder Info/CV Clock Out.amxd
CV Envelope Follower,Audio Effect,Pack,CV Tools,4,1,Devices|Modulator,2025-11-20,623,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Modulation/CV Envelope Follower/Ableton Folder Info/CV Envelope Follower.amxd
CV In,Audio Effect,Pack,CV Tools,2,1,Devices|Modulator,2025-11-20,3686,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Modulation/CV In/Ableton Folder Info/CV In.amxd
CV Instrument,Instrument,Pack,CV Tools,8,1,Devices|Hardware Control,2025-11-20,5442,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Instruments/CV Instrument/Ableton Folder Info/CV Instrument.amxd
CV LFO,Audio Effect,Pack,CV Tools,6,1,Devices|Modulator,2025-11-20,508,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Modulation/CV LFO/Ableton Folder Info/CV LFO.amxd
CV Shaper,Audio Effect,Pack,CV Tools,2,1,Devices|Modulator,2025-11-20,525,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Modulation/CV Shaper/Ableton Folder Info/CV Shaper.amxd
CV Triggers,Instrument,Pack,CV Tools,3,1,Devices|Hardware Control,2025-11-20,1745,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Instruments/CV Triggers/Ableton Folder Info/CV Triggers.amxd
CV Utility,Audio Effect,Pack,CV Tools,2,1,Devices|Utility,2025-11-20,445,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/CV Tools/CV Utilities/CV Utility/Ableton Folder Info/CV Utility.amxd
Cycle Variations Up + Down V1 AbletonDrummer,Audio Effect,User Library,User Library,3,2,,2025-02-16,115,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Cycle Variations Up + Down V1 AbletonDrummer.amxd
Delay,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,61,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Audio effects/Delay/Devices/Delay.amxd
Device Randomizer,Audio Effect,Pack,Max for Live Essentials,1,1,,2025-10-22,590,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Audio Effect/Control Devices/Device Randomizer.amxd
Disintegration-v0.3.1,Audio Effect,User Library,User Library,2,1,,2026-07-23,54,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Disintegration-v0.3.1.amxd
Dr Chaos,MIDI Effect,Pack,Probability Pack by Sonic Faction,0,1,,2025-05-25,7673,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Probability Pack by Sonic Faction/Dr Chaos.amxd
DR01D,Instrument,User Library,User Library,3,2,,2025-08-28,424,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/DR01D.amxd
DROP IN PITCH,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,335,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/DROP IN PITCH.amxd
Drox Free C,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,256,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Drox Free C.amxd
Drox II Free,Audio Effect,User Library,User Library,3,2,,2025-10-26,239,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Drox II Free.amxd
Drox II Pro,Audio Effect,User Library,User Library,2,1,,2026-07-24,764,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Drox II Pro.amxd
DrumBrain,MIDI Effect,User Library,User Library,1,1,,2025-12-23,366,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/MIDI Effects/Max MIDI Effect/Imported/DrumBrain.amxd
DrumSynth Clap,Instrument,Pack,Max for Live Essentials,12,1,,2025-10-22,268,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Clap.amxd
DrumSynth Clave,Instrument,Pack,Max for Live Essentials,15,1,,2025-10-22,193,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Clave.amxd
DrumSynth Cymbal,Instrument,Pack,Max for Live Essentials,10,1,,2025-10-22,258,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Cymbal.amxd
DrumSynth FM2,Instrument,Pack,Max for Live Essentials,10,1,,2025-10-22,182,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth FM2.amxd
DrumSynth FMPerc,Instrument,Pack,Max for Live Essentials,11,1,,2025-10-22,480,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth FMPerc.amxd
DrumSynth Glass,Instrument,Pack,Max for Live Essentials,14,1,,2025-10-22,149,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Glass.amxd
DrumSynth HH,Instrument,Pack,Max for Live Essentials,15,1,,2025-10-22,141,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth HH.amxd
DrumSynth Kick,Instrument,Pack,Max for Live Essentials,14,1,,2025-10-22,361,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Kick.amxd
DrumSynth Kplus,Instrument,Pack,Max for Live Essentials,9,1,,2025-10-22,222,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Kplus.amxd
DrumSynth Shaker,Instrument,Pack,Max for Live Essentials,12,1,,2025-10-22,159,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Shaker.amxd
DrumSynth Snare,Instrument,Pack,Max for Live Essentials,13,1,,2025-10-22,333,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Snare.amxd
DrumSynth Snare2,Instrument,Pack,Max for Live Essentials,13,1,,2025-10-22,267,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Snare2.amxd
DrumSynth Tom,Instrument,Pack,Max for Live Essentials,12,1,,2025-10-22,344,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Instrument/DrumSynth/Cells/DrumSynth Tom.amxd
DS Clang,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,97,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Clang/Ableton Folder Info/DS Clang.amxd
DS Clap,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,123,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Clap/Ableton Folder Info/DS Clap.amxd
DS Cymbal,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,81,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Cymbal/Ableton Folder Info/DS Cymbal.amxd
DS FM,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,73,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS FM/Ableton Folder Info/DS FM.amxd
DS HH,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,47,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS HH/Ableton Folder Info/DS HH.amxd
DS Kick,Instrument,Live factory,Built-in,4,1,Devices|Drums,2026-03-06,95,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Kick/Ableton Folder Info/DS Kick.amxd
DS Sampler,Instrument,Live factory,Built-in,1,1,,2026-03-06,429,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Sampler/Ableton Folder Info/DS Sampler.amxd
DS Snare,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,82,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Snare/Ableton Folder Info/DS Snare.amxd
DS Tom,Instrument,Live factory,Built-in,3,1,Devices|Drums,2026-03-06,146,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Instruments/Drum Synth/DS Tom/Ableton Folder Info/DS Tom.amxd
Dust,Instrument,Project copy,Remote Music,19,1,,2026-06-22,982,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/3rd Party/Opal Project/Dust.amxd
E.VO.E.,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,68,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/E.VO.E..amxd
Emit,Instrument,Pack,Inspired by Nature by Dillon Bastan,34,1,Devices|Synthesizer|Granular,2025-05-25,2080,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Instruments/Emit/Ableton Folder Info/Emit.amxd
Envelope,MIDI Effect,Pack,Max for Live Essentials,1,1,,2025-10-22,303,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Midi Effect/Control Devices MIDI/Envelope.amxd
Envelope Follower,Audio Effect,Live factory,Built-in,8,2,Devices|Modulator,2026-07-14,513,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/Audio Effects/Envelope Follower/Ableton Folder Info/Envelope Follower.amxd
