name,kind,loc,place,used,copies,tags,modified,size_kb,path
Strange Grain ALL,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,211,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Strange Grain ALL.amxd
Strange Mod,Audio Effect,Elsewhere on disk,Remote Music,4,4,,2024-08-15,441,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Strange Mod.amxd
Stranger Grains,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,209,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Stranger Grains.amxd
Stranger Grains [ots rmx] 1.3,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,558,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Stranger Grains [ots rmx] 1.3.amxd
Stranger Sampler,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,2527,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Stranger Sampler.amxd
Stretch Simpler,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,53,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Instruments/Stretch Simpler/Devices/Stretch Simpler.amxd
STRIKE_MIDI,Instrument,User Library,User Library,2,1,,2026-02-04,542,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/STRIKE_MIDI.amxd
STRIKE_Resonator,Audio Effect,User Library,User Library,2,1,,2026-02-04,547,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/STRIKE_Resonator.amxd
StripSilence,Audio Effect,User Library,User Library,2,1,,2026-07-27,36,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/StripSilence.amxd
Sunset_drum_machine,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,7029,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Sunset_drum_machine.amxd
Super Simple Sampler,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,1219,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Super Simple Sampler.amxd
Surround Panner,Audio Effect,Pack,Surround Panner,2,1,Devices|Utility,2025-05-25,259,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Surround Panner/Surround Panner/Ableton Folder Info/Surround Panner.amxd
SW Radio,Audio Effect,User Library,User Library,4,4,,2026-05-30,14,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio.amxd
SW Radio-1,Audio Effect,User Library,User Library,2,2,,2026-05-30,23,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-1.amxd
SW Radio-10,Audio Effect,User Library,User Library,1,1,,2026-08-11,40,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-10.amxd
SW Radio-2,Audio Effect,User Library,User Library,1,1,,2026-05-30,29,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-2.amxd
SW Radio-3,Audio Effect,User Library,User Library,1,1,,2026-05-30,30,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-3.amxd
SW Radio-4,Audio Effect,User Library,User Library,1,1,,2026-05-30,30,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-4.amxd
SW Radio-5,Audio Effect,User Library,User Library,1,1,,2026-06-03,38,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-5.amxd
SW Radio-6,Audio Effect,User Library,User Library,2,1,,2026-06-03,38,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-6.amxd
SW Radio-7,Audio Effect,User Library,User Library,1,1,,2026-06-03,38,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-7.amxd
SW Radio-8,Audio Effect,User Library,User Library,1,1,,2026-06-03,38,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-8.amxd
SW Radio-9,Audio Effect,User Library,User Library,4,3,,2026-06-06,40,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/SW Radio-9.amxd
